Use,Level 1,title level 1,Level 2,title level 2,Level 3,title level 3,function,title,Text,Work
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VIII,-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm IX,-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Psalm,Matines - Psalm X,-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson I,O beata Maria quis digne tibi valeat,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse I,-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond II,Beata es Maria quae Dominum,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond III (alternatif),-,
Agde,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse III,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon III,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm III,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon IV,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm IV,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon V,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm V,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon VI,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VI,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VII,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VIII,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle I,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response I,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Alternative Hymn,Laudes - Alternative Hymn,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Canticle,Benedictus Antiphon,Laudes - Benedictus Antiphon,O gloriosa Dei genitrix,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration I,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration II,-,
Agde,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration III,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Antiphon,Prime - Antiphon,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm IV,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm V,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm VI,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Short lesson,Prime - Short lesson,Ab initio et ante saecula,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Respond,Prime - Respond,-,
Agde,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Verse,Prime - Verse I,-,
