Use,Level 1,title level 1,Level 2,title level 2,Level 3,title level 3,function,title,Text,Work
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm II,Nisi Dominus,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm IV,Nisi Dominus aedificaverit,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm II,Nisi quia Dominus,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Hymn,Laudes - Hymn,O gloriosa domina,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Respond,Sexte - Respond,Ora pro nobis,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Versicle,Complies - Versicle II,Post partum,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon I,Post partum,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Respond,Prime - Respond,Post partum,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Short lesson,None - Short lesson,Quasi cedrus exaltata sum,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon VII,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VII,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VIII,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm IX,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Psalm,Matines - Psalm X,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond III (alternatif),-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm II,Iubilate Deo omnis terra,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm V,Benedicite,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VII,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VIII,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Alternative Hymn,Laudes - Alternative Hymn,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Canticle,Benedictus Antiphon,Laudes - Benedictus Antiphon,O gloriosa Dei genitrix,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Short lesson,Prime - Short lesson,Ab initio et ante saecula,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Verse,Prime - Verse II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Short lesson,Tierce - Short lesson,Et sic in Syon,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Respond,Tierce - Respond,Sancta Maria mater,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Verse,Tierce - Verse II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Hymn,Hymn,Sexte - Hymn,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Verse,Sexte - Verse II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Hymn,Hymn,None - Hymn,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Antiphon,None - Antiphon,Beata mater et innupta virgo,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm VI,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Verse,None - Verse II,Sancta Dei genitrix,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon I,Sancta Dei genitrix virgo,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon V,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm V,Lauda Ierusalem,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Versicle,Vêpres - Versicle I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Versicle,Vêpres - Versicle II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response II 2,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Canticle,Magnificat Antiphon,Vêpres - Magnificat Antiphon,Sancta Maria succurre,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Orationes,Oration,Vêpres - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Orationes,Oration,Vêpres - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Orationes,Oration,Vêpres - Oration III,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Psalms,Antiphon,Complies - Antiphon I,Virgo maria non est tibi similis,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Psalms,Psalm,Complies - Psalm IV,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Short lesson,Complies - Short lesson,Ego mater pulchrae dilectionis,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Versicle,Complies - Versicle I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Response,Complies - Response I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Response,Complies - Response II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Canticle,Antiphon alternative du Nunc dimittis,Complies - Antiphon alternative du Nunc dimittis,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Orationes,Oration,Complies - Oration I,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Orationes,Oration,Complies - Oration II,-,
Dominicains,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,Orationes,Oration,Complies - Oration III,-,
Dominicains,,,,,,,,,,
Dominicains,,,,,,,,,,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson III,Sancta Dei genitrix,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond I,Sancta et immaculata virginitas,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson I,Sancta Maria virgo,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Lesson,Matines - Lesson II,Sancta Maria piarum piissima,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Antiphon,Sexte - Antiphon,Sub tuam protectionem,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Short lesson,None - Short lesson,Te laudant angeli,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm IV,Verba mea,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Short lesson,Laudes - Short lesson,Beata es Maria,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond II,Beata es virgo Maria,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm II,Beatus vir,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon I,Benedicta tu,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm I,Deus in nomine tuo,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Antiphon,Tierce - Antiphon,Dignare me,
Durham,Level 1,Hours of the Virgin,Level 2,Compline,Level 3,HSL,Versicle,Complies - Versicle II,Ecce ancilla,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Short lesson,Prime - Short lesson,Felix namque,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Antiphon,None - Antiphon,In prole mater,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Versicle,Vêpres - Versicle II,Post partum,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm III,Quare fremuerunt gentes,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Invitatory,Invitatory,Matines - Invitatory,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Hymn,Hymn,Matines - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Antiphon,Matines - Antiphon VII,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VII,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm VIII,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Psalms,Psalm,Matines - Psalm IX,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Psalm,Matines - Psalm X,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Respond,Matines - Respond III (alternatif),-,
Durham,Level 1,Hours of the Virgin,Level 2,Matins,Level 3,Lessons,Verse,Matines - Verse III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Antiphon,Laudes - Antiphon VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VII,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Psalms,Psalm,Laudes - Psalm VIII,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Hymn,Laudes - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Alternative Hymn,Laudes - Alternative Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Versicle,Laudes - Versicle II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,HSL,Response,Laudes - Response II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Canticle,Benedictus Antiphon,Laudes - Benedictus Antiphon,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Lauds,Level 3,Orationes,Oration,Laudes - Oration III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Hymn,Hymn,Prime - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Antiphon,Prime - Antiphon,Sancta Dei genitrix virgo,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Psalms,Psalm,Prime - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Respond,Prime - Respond,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Verse,Prime - Verse I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Short lesson,Verse,Prime - Verse II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Prime,Level 3,Orationes,Oration,Prime - Oration III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Hymn,Hymn,Tierce - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Psalms,Psalm,Tierce - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Short lesson,Tierce - Short lesson,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Respond,Tierce - Respond,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Verse,Tierce - Verse I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Short lesson,Verse,Tierce - Verse II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Terce,Level 3,Orationes,Oration,Tierce - Oration III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Hymn,Hymn,Sexte - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Psalms,Psalm,Sexte - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Short lesson,Sexte - Short lesson,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Respond,Sexte - Respond,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Verse,Sexte - Verse I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Short lesson,Verse,Sexte - Verse II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Sext,Level 3,Orationes,Oration,Sexte - Oration III,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Hymn,Hymn,None - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Psalms,Psalm,None - Psalm VI,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Respond,None - Respond,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Verse,None - Verse I,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Short lesson,Verse,None - Verse II,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration I,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration II,-,
Durham,Level 1,Hours of the Virgin,Level 2,None,Level 3,Orationes,Oration,None - Oration III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm III,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm IV,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Antiphon,Vêpres - Antiphon V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,Psalms,Psalm,Vêpres - Psalm V,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Short lesson,Vêpres - Short lesson,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Versicle,Vêpres - Versicle I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response I,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response II,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Hymn,Vêpres - Hymn,-,
Durham,Level 1,Hours of the Virgin,Level 2,Vespers,Level 3,HSL,Response,Vêpres - Response II 2,Dei genitrix,
